agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
La Joya I.S.D. Police Dept.,Special jurisdiction,34, , , , , ,221 N. Stadium Dr., , ,La Joya,TX,Hidalgo,78560, , , , ,48215
Colleyville Police Department,Local police department,34, , , , , ,5201 Riverwalk Dr., , ,Colleyville,TX,Tarrant,76034, , , , ,48439
Jasper County Sheriff's Office,Sheriff's office,33, , , , , ,101 Burch St, , ,Ridgeland,SC,Jasper,29936, , , , ,45053
Webb County Constable Pct. 1,Constable/marshal,33, , , , , ,1110 Victoria St Ste 102, , ,Laredo,TX,Webb,78040, , , , ,48479
Minden Police Department,Local police department,33, , , , , ,Po Box 580, , ,Minden,LA,Webster,71055, , , , ,22119
Graham Police Department,Local police department,33, , , , , ,216 S. Maple St.,PO Box 357, ,Graham,NC,Alamance,27253, , , , ,37001
Covington Police Department,Local police department,33, , , , , ,One Police Memorial Dr., , ,Covington,TN,Tipton,38019, , , , ,47167
East Ridge Police Department,Local police department,33, , , , , ,4214 Ringgold Rd., , ,East Ridge,TN,Hamilton,37412, , , , ,47065
Waynesville Police Department,Local police department,33, , , , , ,"320 Ichord Ave - Suite ""F""", , ,Waynesville,NC,Haywood,28786, , , , ,37087
Walker County Sheriff's Office,Sheriff's office,33, , , , , ,105 S Duke St,PO Box 767, ,Huntsville,TX,Walker,77320, , , , ,48471
Douglas Police Department,Local police department,33, , , , , ,29 Depot Street, , ,Douglas,AZ,Cochise,85608, , , , ,4003
Travis County Constable Pct. 5,Constable/marshal,33, , , , , ,1000 Guadalupe St Ste 111, , ,Austin,TX,Travis,78701, , , , ,48453
Granbury Police Department,Local police department,33, , , , , ,116 W. Bridge, , ,Granbury,TX,Hood,76048, , , , ,48221
Memorial Villages Police Department,Local police department,33, , , , , ,11981 Memorial Drive, , ,Houston,TX,Harris,77024, , , , ,48201
University of North Carolina - Charlotte Police and Public Safety,Special jurisdiction,33, , , , , ,9201 University City Blvd, , ,Charlotte,NC,Mecklenburg,28223, , , , ,37119
Coolidge Police Department,Local police department,33, , , , , ,P. O. Box 457, , ,Coolidge,AZ,Pinal,85228, , , , ,4021
Pasadena I.S.D. Police Dept.,Special jurisdiction,32, , , , , ,1515 Cherrybrook, , ,Pasadena,TX,Harris,77502, , , , ,48201
Seabrook Police Department,Local police department,32, , , , , ,1400 Cook, , ,Seabrook,TX,Harris,77586, , , , ,48201
Sulphur Springs Police Department,Local police department,32, , , , , ,125 S. Davis Street, , ,Sulphur Springs,TX,Hopkins,75482, , , , ,48223
Hanahan Police Department,Local police department,32, , , , , ,1255 Yeamans Hall Road, , ,Hanahan,SC,Berkeley,29410, , , , ,45015
Denham Springs Police Department,Local police department,32, , , , , ,Po Box 847, , ,Denham Springs,LA,Livingston,70727, , , , ,22063
Henderson Police Department,Local police department,32, , , , , ,223 Lead Street,PO Box 95050, ,Henderson,TX,Rusk,75652, , , , ,48401
Eunice Police Department,Local police department,32, , , , , ,300 South 2Nd St., , ,Eunice,LA,St. Landry,70535, , , , ,22097
Clinton Department of Public Safety,Local police department,32, , , , , ,404 North Broad Street, , ,Clinton,SC,Laurens,29325, , , , ,45059
Belmont Police Department,Local police department,32, , , , , ,Post Office Box 489, , ,Belmont,NC,Gaston,28012, , , , ,37071
Roxboro Police Department,Local police department,32, , , , , ,Po Box 280, , ,Roxboro,NC,Person,27573, , , , ,37145
Cherokee County Sheriff's Office,Sheriff's office,32, , , , , ,111 N 5Th St, , ,Rusk,TX,Cherokee,75785, , , , ,48073
Pineville Police Department,Local police department,32, , , , , ,Post Office Box 220, , ,Pineville,NC,Mecklenburg,28134, , , , ,37119
Morrisville Police Department,Local police department,32, , , , , ,Po Box 166, , ,Morrisville,NC,Wake,27560, , , , ,37183
Washington County Sheriff's Office,Sheriff's office,32, , , , , ,399 Broadway, , ,Brenham,TX,Washington,77833, , , , ,48477
Fort Mill Police Department,Local police department,32, , , , , ,Po Box 274, , ,Fort Mill,SC,York,29716, , , , ,45091
Caroline County Sheriff's Office,Sheriff's office,32, , , , , ,Po Box 39,118 Courthouse Lane, ,Denton,MD,Caroline,21629, , , , ,24011
Dillon County Sheriff's Office,Sheriff's office,32, , , , , ,305 W Hampton St,PO Box 627, ,Dillon,SC,Dillon,29536, , , , ,45033
Henry County Sheriff's Office,Sheriff's office,32, , , , , ,3250 Kings Mountain Rd, , ,Paris,TN,Henry,38242, , , , ,47079
Hopkins County Sheriff's Office,Sheriff's office,32, , , , , ,298 Rosemont St, , ,Sulphur Springs,TX,Hopkins,75482, , , , ,48223
Forest City Police Department,Local police department,32, , , , , ,187 South Church Street, , ,Forest City,NC,Rutherford,28043, , , , ,37161
Eloy Police Department,Local police department,32, , , , , ,630 North Main Street, , ,Eloy,AZ,Pinal,85231, , , , ,4021
Watauga Police Department,Local police department,32, , , , , ,P.O. Box 68, , ,Watauga,TX,Tarrant,76148, , , , ,48439
Edgewood I.S.D. Police Dept.,Special jurisdiction,32, , , , , ,5358 W. Commerce St., , ,San Antonio,TX,Bexar,78237, , , , ,48029
Brownsville I.S.D. Police Dept.,Special jurisdiction,32, , , , , ,2477 East Price Road, , ,Brownsville,TX,Cameron,78521, , , , ,48061
Clemson University Police,Special jurisdiction,32, , , , , ,Centennial Blvd, , ,Clemson,SC,Pickens,29634, , , , ,45077
Corpus Christi I.S.D. Police Dept.,Special jurisdiction,32, , , , , ,450 Sunbelt, , ,Corpus Christi,TX,Nueces,78408, , , , ,48355
Tennessee Alcoholic Beverage Commission,Special jurisdiction,32, , , , , ,"226 Capital Blvd., Ste. 300", , ,Nashville,TN,Davidson,37243, , , , ,47037
Lewisburg Police Department,Local police department,32, , , , , ,Post Office Box 548, , ,Lewisburg,TN,Marshall,37091, , , , ,47117
Manchester Police Department,Local police department,32, , , , , ,"3215 Long Lane, P.O.Box 830", , ,Manchester,TN,Coffee,37355, , , , ,47031
Payson Police Department,Local police department,32, , , , , ,405 West Utah Ave, , ,Payson,AZ,Gila,85541, , , , ,4007
Tennessee Department of Revenue - Special Investigation,Special jurisdiction,32, , , , , ,P.O. Box 198466, , ,Nashville,TN,Davidson,37219, , , , ,47037
Marion County Sheriff's Office,Sheriff's office,31, , , , , ,2715 E Highway 76 Ste C, , ,Mullins,SC,Marion,29574, , , , ,45067
Gibson County Sheriff's Office,Sheriff's office,31, , , , , ,301 N College St, , ,Trenton,TN,Gibson,38382, , , , ,47053
Palestine Police Department,Local police department,31, , , , , ,504 N. Queen Street, , ,Palestine,TX,Anderson,75801, , , , ,48001
Oxford Police Department,Local police department,31, , , , , ,715 Molly Barr Road, , ,Oxford,NC,Granville,27565, , , , ,37077
Cheatham County Sheriff's Office,Sheriff's office,31, , , , , ,100 Public Sq, , ,Ashland City,TN,Cheatham,37015, , , , ,47021
Bienville Parish Sheriff's Office,Sheriff's office,31, , , , , ,Po Box 328, , ,Arcadia,LA,Bienville,71001, , , , ,22013
Lawrenceburg Police Department,Local police department,31, , , , , ,233 W. Gaines St. Nbu #1, , ,Lawrenceburg,TN,Lawrence,38464, , , , ,47099
Little Elm Police Department,Local police department,31, , , , , ,100 W. Eldorado Pkwy, , ,Little Elm,TX,Denton,75068, , , , ,48121
University of Memphis Police,Special jurisdiction,31, , , , , ,100 Zach Curlin Garage Room 112, , ,Memphis,TN,Shelby,38152, , , , ,47157
Lincolnton Police Department,Local police department,31, , , , , ,Po Box 617, , ,Lincolnton,NC,Lincoln,28093, , , , ,37109
Middle Tennessee State University Police,Special jurisdiction,31, , , , , ,M.T.S.U. Box 141, , ,Murfreesboro,TN,Rutherford,37132, , , , ,47149
Spring Branch I.S.D. Police Dept.,Special jurisdiction,31, , , , , ,9009 Ruland, , ,Houston,TX,Harris,77024, , , , ,48201
Sedona Police Department,Local police department,31, , , , , ,100 Roadrunner Drive, , ,Sedona,AZ,Yavapai,86336, , , , ,4025
Val Verde County Sheriff's Office,Sheriff's office,31, , , , , ,Po Box 1201, , ,Del Rio,TX,Val Verde,78841, , , , ,48465
Union Parish Sheriff's Office,Sheriff's office,30, , , , , ,100 E Bayou St,Ste 101, ,Farmerville,LA,Union,71241, , , , ,22111
Kings Mountain Police Department,Local police department,30, , , , , ,Po Box 7, , ,Kings Mountain,NC,Cleveland,28086, , , , ,37045
Hope Mills Police Department,Local police department,30, , , , , ,5776 Rockfish Road,PO Box 367, ,Hope Mills,NC,Cumberland,28348, , , , ,37051
Talbot County Sheriff's Office,Sheriff's office,30, , , , , ,Po Box 544, , ,Easton,MD,Talbot,21601, , , , ,24041
Live Oak Police Department,Local police department,30, , , , , ,8001 Shin Oak, , ,Live Oak,TX,Bexar,78233, , , , ,48029
Dickinson Police Department,Local police department,30, , , , , ,66 W Museum Drive, , ,Dickinson,TX,Galveston,77539, , , , ,48167
Leander Police Department,Local police department,30, , , , , ,P. O. Box 319, , ,Leander,TX,Williamson,78641, , , , ,48491
Mineral Wells Police Department,Local police department,30, , , , , ,212 S. Oak Ave., , ,Mineral Wells,TX,Palo Pinto,76067, , , , ,48363
Southern Pines Police Department,Local police department,30, , , , , ,Po Box 330, , ,Southern Pines,NC,Moore,28388, , , , ,37125
Campbell County Sheriff's Office,Sheriff's office,30, , , , , ,600 W Boxelder Rd, , ,Jacksboro,TN,Campbell,37757, , , , ,47013
Garrett County Sheriff's Office,Sheriff's office,30, , , , , ,311 E Alder St, , ,Oakland,MD,Garrett,21550, , , , ,24023
Leland Police Department,Local police department,30, , , , , ,102 Town Hall Dr, , ,Leland,NC,Brunswick,28451, , , , ,37019
Brenham Police Department,Local police department,30, , , , , ,P. O. Box 682, , ,Brenham,TX,Washington,77834, , , , ,48477
Richmond Police Department,Local police department,30, , , , , ,207 Summit Street, , ,Richmond,TX,Fort Bend,77469, , , , ,48157
Northampton County Sheriff's Office,Sheriff's office,30, , , , , ,669 Washington St, , ,Jackson,NC,Northampton,27845, , , , ,37131
Anson County Sheriff's Office,Sheriff's office,30, , , , , ,119 N Washington St, , ,Wadesboro,NC,Anson,28170, , , , ,37007
Newberry Police Department,Local police department,30, , , , , ,1507 Nance Street, , ,Newberry,SC,Newberry,29108, , , , ,45071
University of New Orleans Police Dept.,Special jurisdiction,30, , , , , ,2000 Lakeshore Dr, , ,New Orleans,LA,Orleans,70148, , , , ,22071
Warren County Sheriff's Office,Sheriff's office,30, , , , , ,121 N A St, , ,Warrenton,NC,Warren,27589, , , , ,37185
Texas State Fire Marshal's Office,Special jurisdiction,30, , , , , ,P. O. Box 149221 333 Guadalupe, , ,Austin,TX,Travis,78714, , , , ,48453
Cottonwood Police Department,Local police department,30, , , , , ,Po Box 571, , ,Cottonwood,AZ,Yavapai,86326, , , , ,4025
Socorro I.S.D. Police Dept.,Special jurisdiction,30, , , , , ,1300 Joe Battle, , ,El Paso,TX,El Paso,79936, , , , ,48141
San Luis Police Department,Local police department,30, , , , , ,408 Main Street, , ,San Luis,AZ,Yuma,85349, , , , ,4027
Pitt County Memorial Hospital Police Dept,Special jurisdiction,30, , , , , ,Po Box 6028, , ,Greenville,NC,Pitt,27835, , , , ,37147
White Mountain Apache Tribal Police Department,Local police department,30, , , , , ,P. O. Box 889, , ,Whiteriver,AZ,Navajo,85941, , , , ,4017
Florence Police Department,Local police department,30, , , , , ,8100 Ewing Blvd., , ,Florence,AZ,Pinal,85232, , , , ,4021
Tolleson Police Department,Local police department,30, , , , , ,9555 West Van Buren, , ,Tolleson,AZ,Maricopa,85353, , , , ,4013
Baton Rouge Airport Police,Special jurisdiction,30, , , , , ,9430 Jackie Cochran Dr,Ryan Terminal, ,Baton Rouge,LA,East Baton Rouge,70807, , , , ,22033
University of North Carolina - Greensboro Police Dept.,Special jurisdiction,30, , , , , ,Po Box 26170, , ,Greensboro,NC,Guilford,27402, , , , ,37081
Orleans Levee District Police,Special jurisdiction,30, , , , , ,6920 Franklin Avenue, , ,New Orleans,LA,Orleans,70122, , , , ,22071
Show Low Police Department,Local police department,30, , , , , ,P. O. Box 1497, , ,Show Low,AZ,Navajo,85901, , , , ,4017
College of Charleston Public Safety,Special jurisdiction,30, , , , , ,81-B St. Philip Street, , ,Charleston,SC,Charleston,29424, , , , ,45019
Midlothian Police Department,Local police department,29, , , , , ,1150 North Hwy. 67, , ,Midlothian,TX,Ellis,76065, , , , ,48139
Corinth Police Department,Local police department,29, , , , , ,2003 S. Corinth St, , ,Corinth,TX,Denton,76210, , , , ,48121
El Campo Police Department,Local police department,29, , , , , ,303 E. Jackson, , ,El Campo,TX,Wharton,77437, , , , ,48481
Mount Pleasant Police Department,Local police department,29, , , , , ,P.O. Box 426, , ,Mt. Pleasant,TX,Titus,75455, , , , ,48449
Edgefield County Sheriff's Office,Sheriff's office,29, , , , , ,200 Railrd St, , ,Edgefield,SC,Edgefield,29824, , , , ,45037
Atascosa County Sheriff's Office,Sheriff's office,29, , , , , ,1108 Campbell Ave, , ,Jourdanton,TX,Atascosa,78026, , , , ,48013
Mount Holly Police Department,Local police department,29, , , , , ,Po Box 406, , ,Mount Holly,NC,Gaston,28120, , , , ,37071
Universal City Police Department,Local police department,29, , , , , ,2150 Universal City Blvd., , ,Universal City,TX,Bexar,78148, , , , ,48029
Scott County Sheriff's Office,Sheriff's office,29, , , , , ,301 S Fuller St, , ,Huntsville,TN,Scott,37756, , , , ,47151
Fredericksburg Police Department,Local police department,29, , , , , ,2200 Cowan Boulevard, , ,Fredericksburg,TX,Gillespie,78624, , , , ,48171
South Houston Police Department,Local police department,29, , , , , ,1023 Dallas Street, , ,South Houston,TX,Harris,77587, , , , ,48201
Highland Village Police Department,Local police department,29, , , , , ,1000 Highland Village Rd., , ,Highland Village,TX,Denton,75077, , , , ,48121
Athens Police Department,Local police department,29, , , , , ,951 E Hobbs Street, , ,Athens,TN,McMinn,37303, , , , ,47107
Charleston County Aviation Authority,Special jurisdiction,29, , , , , ,5500 International Blvd.  #101, , ,Charleston,SC,Charleston,29418, , , , ,45019
Crescent City Connection Police Dept,Special jurisdiction,29, , , , , ,P.O. Box 6297, , ,New Orleans,LA,Orleans,70174, , , , ,22071
Texas State University at San Marcos Police Department,Special jurisdiction,29, , , , , ,601 University Drive, , ,San Marco,TX,Hays,78666, , , , ,48209
Raleigh-Durham International Airport Police Dept,Special jurisdiction,29, , , , , ,Po Box 80001, , ,Rdu Airport,NC,Wake,27623, , , , ,37183
Hardin County Sheriff's Office,Sheriff's office,29, , , , , ,P.O. Box 246,Courthouse Hill, ,Kountze,TX,Hardin,77625, , , , ,48199
University of Tennessee at Memphis Police,Special jurisdiction,28, , , , , ,45 North Manassas, , ,Memphis,TN,Shelby,38163, , , , ,47157
Hillsborough Police Department,Local police department,28, , , , , ,127 North Churton St, , ,Hillsborough,NC,Orange,27278, , , , ,37135
Newport Police Department,Local police department,28, , , , , ,120 Broadway, , ,Newport,TN,Wayne,37822, , , , ,47181
Bel Air Police Department,Local police department,28, , , , , ,39 Hickory Avenue, , ,Bel Air,MD,Harford,21014, , , , ,24025
Leesville Police Department,Local police department,28, , , , , ,101 West Lee St., , ,Leesville,LA,Vernon,71496, , , , ,22115
Caldwell Parish Sheriff's Office,Sheriff's office,28, , , , , ,Po Box 60, , ,Columbia,LA,Caldwell,71418, , , , ,22021
Roanoke Police Department,Local police department,28, , , , , ,609 Dallas Dr., , ,Roanoke,TX,Denton,76262, , , , ,48121
White County Sheriff's Office,Sheriff's office,28, , , , , ,1600 E Booth Rd Ste 100, , ,Sparta,TN,White,38583, , , , ,47185
Mint Hill Police Department,Local police department,28, , , , , ,Po Box 23457, , ,Mint Hill,NC,Mecklenburg,28227, , , , ,37119
Carolina Beach Police Department,Local police department,28, , , , , ,1121 N. Lake Park Blvd., , ,Carolina Beach,NC,New Hanover,28428, , , , ,37129
Bandera County Sheriff's Office,Sheriff's office,28, , , , , ,Po Box 607,12th and Pecan, ,Bandera,TX,Bandera,78003, , , , ,48019
Caswell County Sheriff's Office,Sheriff's office,28, , , , , ,Po Box 1177, , ,Yanceyville,NC,Caswell,27379, , , , ,37033
Alamo Police Department,Local police department,28, , , , , ,840 W. Austin, , ,Alamo,TX,Hidalgo,78516, , , , ,48215
Laurens Police Department,Local police department,28, , , , , ,201 W. Main St. Suite B, , ,Laurens,SC,Laurens,29360, , , , ,45059
Jacksonville Police Department,Local police department,28, , , , , ,Po Drawer 436, , ,Jacksonville,TX,Cherokee,75766, , , , ,48073
Lee County Sheriff's Office,Sheriff's office,28, , , , , ,Po Box 177, , ,Bishopville,SC,Lee,29010, , , , ,45061
Fuquay Varina Police Department,Local police department,28, , , , , ,401 Old Honeycutt Rd., , ,Fuquay Varina,NC,Wake,27526, , , , ,37183
Hill County Sheriff's Office,Sheriff's office,28, , , , , ,406 Hall St,PO Box 283, ,Hillsboro,TX,Hill,76645, , , , ,48217
Amite Police Department,Local police department,28, , , , , ,101 Oak St., , ,Amite,LA,Tangipahoa,70422, , , , ,22105
Giles County Sheriff's Office,Sheriff's office,28, , , , , ,200 Thomas Gatlin Dr, , ,Pulaski,TN,Giles,38478, , , , ,47055
York Police Department,Local police department,28, , , , , ,50 West King Street, , ,York,SC,York,29745, , , , ,45091
Freeport Police Department,Local police department,28, , , , , ,16 Main Street, , ,Freeport,TX,Brazoria,77541, , , , ,48039
Alexander County Sheriff's Office,Sheriff's office,28, , , , , ,2000 Washington Ave, , ,Taylorsville,NC,Alexander,28681, , , , ,37003
La Marque Police Department,Local police department,28, , , , , ,431 Bayou Rd., , ,La Marque,TX,Galveston,77568, , , , ,48167
Dyer County Sheriff's Office,Sheriff's office,28, , , , , ,401 E Cedar St, , ,Dyersburg,TN,Dyer,38024, , , , ,47045
Tennessee State Fire Marshal,Special jurisdiction,28, , , , , ,1210 Foster Avenue, , ,Nashville,TN,Davidson,37210, , , , ,47037
Ector Co. I.S.D. Police Dept.,Special jurisdiction,28, , , , , ,P. O. Box 3912 802 N. Sam Houston, , ,Odessa,TX,Ector,79760, , , , ,48135
Klein I.S.D. Police Dept.,Special jurisdiction,28, , , , , ,7407 Louetta Rd., , ,Klein,TX,Harris,77379, , , , ,48201
Laredo I.S.D. Police Dept.,Special jurisdiction,28, , , , , ,2219 Springfield Ave, , ,Laredo,TX,Webb,78040, , , , ,48479
North Carolina Central University Police Dept.,Special jurisdiction,28, , , , , ,1801 Fayetteville Street,2010 Fayetteville Street, ,Durham,NC,Durham,27707, , , , ,37063
Clute Police Department,Local police department,28, , , , , ,P. O. Box 997, , ,Clute,TX,Brazoria,77531, , , , ,48039
Mercedes Police Department,Local police department,28, , , , , ,316 South Ohio Street, , ,Mercedes,TX,Hidalgo,78570, , , , ,48215
Tarboro Police Department,Local police department,28, , , , , ,Po Box 500, , ,Tarboro,NC,Edgecombe,27886, , , , ,37065
Jim Wells County Sheriff's Office,Sheriff's office,27, , , , , ,300 N Cameron St,PO Box 1286, ,Alice,TX,Jim Wells,78332, , , , ,48249
Marble Falls Police Department,Local police department,27, , , , , ,209 Main St., , ,Marble Falls,TX,Burnet,78654, , , , ,48053
Soddy Daisy Police Department,Local police department,27, , , , , ,9835 Dayton Pike, , ,Soddy Daisy,TN,Hamilton,37379, , , , ,47065
Sachse Police Department,Local police department,27, , , , , ,3815 Sachse Road, , ,Sachse,TX,Dallas,75048, , , , ,48113
Bexar County Hospital District Police Dept.,Special jurisdiction,27, , , , , ,4502 Medical Dr., , ,San Antonio,TX,Bexar,78229, , , , ,48029
Forest Acres Police Department,Local police department,27, , , , , ,5205 Trenholm Road, , ,Columbia,SC,Richland,29206, , , , ,45079
Lamar County Sheriff's Office,Sheriff's office,27, , , , , ,125 Brown Ave, , ,Paris,TX,Lamar,75460, , , , ,48277
Allen Parish Sheriff's Office,Sheriff's office,27, , , , , ,Po Box 278,601 Court St, ,Oberlin,LA,Allen,70655, , , , ,22003
Belton Police Department,Local police department,27, , , , , ,P. O. Box 120, , ,Belton,TX,Bell,76513, , , , ,48027
Socorro Police Department,Local police department,27, , , , , ,P.O. Box 992, , ,El Paso,TX,El Paso,79927, , , , ,48141
Barnwell County Sheriff's Office,Sheriff's office,27, , , , , ,Po Box 384,599 Joey Zorn Blvd, ,Barnwell,SC,Barnwell,29812, , , , ,45011
Chester Police Department,Local police department,27, , , , , ,84 Chester Street, , ,Chester,SC,Chester,29706, , , , ,45023
Havelock Public Safety,Local police department,27, , , , , ,Po Box 368, , ,Havelock,NC,Craven,28532, , , , ,37049
Caldwell County Sheriff's Office,Sheriff's office,27, , , , , ,54 N Franklin,P.O. Box 158, ,Lockhart,TX,Caldwell,78644, , , , ,48055
Zachary Police Department,Local police department,27, , , , , ,Po Box 310, , ,Zachary,LA,East Baton Rouge,70791, , , , ,22033
Tennessee State University,Special jurisdiction,27, , , , , ,3500 John A. Merritt Blvd., , ,Nashville,TN,Davidson,37209, , , , ,47037
Taylor Police Department,Local police department,27, , , , , ,23515 Goddard Rd, , ,Taylor,TX,Williamson,76574, , , , ,48491
Knoxville Metro Airport Authority Police,Special jurisdiction,27, , , , , ,P.O. Box 15600, , ,Knoxville,TN,Blount,37901, , , , ,47009
Pascua Yaqui Tribal Police,Local police department,27, , , , , ,4725 Tetakusim, , ,Tucson,AZ,Pima,85757, , , , ,4019
University of North Carolina - Wilmington Police Dept,Special jurisdiction,27, , , , , ,601 South College Rd., , ,Wilmington,NC,New Hanover,28403, , , , ,37129
Paris Police Department,Local police department,26, , , , , ,1810 East Walnut Street, , ,Paris,TN,Henry,38242, , , , ,47079
Somerton Police Department,Local police department,26, , , , , ,P. O. Box 477, , ,Somerton,AZ,Yuma,85350, , , , ,4027
Red River Parish Sheriff's Office,Sheriff's office,26, , , , , ,Po Box 375,615 E Carroll St, ,Coushatta,LA,Red River,71019, , , , ,22081
Wilson County Sheriff's Office,Sheriff's office,26, , , , , ,925 Pierce St, , ,Floresville,TX,Wilson,78114, , , , ,48493
Woodway Public Safety Department,Local police department,26, , , , , ,920 Estates Dr., , ,Woodway,TX,McLennan,76712, , , , ,48309
Ripley Police Department,Local police department,26, , , , , ,205 South Morton Street, , ,Ripley,TN,Lauderdale,38063, , , , ,47097
Boerne Police Department,Local police department,26, , , , , ,400 E. Blanco, , ,Boerne,TX,Kendall,78006, , , , ,48259
Hickman County Sheriff's Office,Sheriff's office,26, , , , , ,Po Box 214, , ,Centerville,TN,Hickman,37033, , , , ,47081
Lexington Police Department,Local police department,26, , , , , ,1575 Massachusetts Avenue, , ,Lexington,TN,Henderson,38351, , , , ,47077
Clemson Police Department,Local police department,26, , , , , ,1198 Tiger Blvd., , ,Clemson,SC,Pickens,29631, , , , ,45077
Forest Hill Police Department,Local police department,26, , , , , ,Po Box 309, , ,Forest Hill,TX,Tarrant,76140, , , , ,48439
Cherokee County Sheriff's Office,Sheriff's office,26, , , , , ,111 N 5Th St, , ,Murphy,NC,Cherokee,28906, , , , ,37039
Camden Police Department,Local police department,26, , , , , ,31 Washington St., , ,Camden,SC,Kershaw,29020, , , , ,45055
Aberdeen Police Department,Local police department,26, , , , , ,Po Box 190, , ,Aberdeen,NC,Moore,28315, , , , ,37125
Portland Police Department,Local police department,26, , , , , ,773 E Grand River Ave, , ,Portland,TN,Sumner,37148, , , , ,47165
Darlington Police Department,Local police department,26, , , , , ,627 Main Street, , ,Darlington,SC,Darlington,29532, , , , ,45031
Bonham Police Department,Local police department,26, , , , , ,301 East 5Th St., , ,Bonham,TX,Fannin,75418, , , , ,48147
Pima Community College Dept of Public Safety,Special jurisdiction,26, , , , , ,6680 South Country Club, , ,Tucson,AZ,Pima,85709, , , , ,4019
Moncks Corner Police Department,Local police department,26, , , , , ,118 Carolina Avenue, , ,Moncks Corner,SC,Berkeley,29461, , , , ,45015
Humboldt Police Department,Local police department,26, , , , , ,Po Box 228, , ,Humboldt,TN,Gibson,38343, , , , ,47053
Winslow Police Department,Local police department,26, , , , , ,114 Benton Avenue, , ,Winslow,AZ,Navajo,86047, , , , ,4017
Hampton County Sheriff's Office,Sheriff's office,26, , , , , ,Po Box 633,411 Cemetery Rd, ,Hampton,SC,Hampton,29924, , , , ,45049
Causeway Police Department,Local police department,25, , , , , ,3943 N. Causeway Blvd, , ,Metairie,LA,Jefferson,70001, , , , ,22051
Kill Devil Hills Police Department,Local police department,25, , , , , ,Po Box 1605, , ,Kill Devil Hills,NC,Dare,27948, , , , ,37055
Marlboro County Sheriff's Office,Sheriff's office,25, , , , , ,Po Box 577,105 Main St Courthouse, ,Bennettsville,SC,Marlboro,29512, , , , ,45069
Westlake Police Department,Local police department,25, , , , , ,27300 Hilliard Blvd, , ,Westlake,LA,Calcasieu,70669, , , , ,22019
Whiteville Police Department,Local police department,25, , , , , ,Po Box 607, , ,Whiteville,NC,Columbus,28472, , , , ,37047
Pampa Police Department,Local police department,25, , , , , ,P. O. Box 2499, , ,Pampa,TX,Gray,79066, , , , ,48179
Hale County Sheriff's Office,Sheriff's office,25, , , , , ,1900 S Columbia St, , ,Plainview,TX,Hale,79072, , , , ,48189
Selma Police Department,Local police department,25, , , , , ,201 N. Webb Street, , ,Selma,TX,Guadalupe,78154, , , , ,48187
Claiborne County Sheriff's Office,Sheriff's office,25, , , , , ,Po Box 245, , ,Tazewell,TN,Claiborne,37879, , , , ,47025
Abbeville County Sheriff's Office,Sheriff's office,25, , , , , ,Po Box 9, , ,Abbeville,SC,Abbeville,29620, , , , ,45001
Lakeway Police Department,Local police department,25, , , , , ,104 Cross Creek Dr., , ,Austin,TX,Travis,78734, , , , ,48453
Pulaski Police Department,Local police department,25, , , , , ,P.O. Box 660, , ,Pulaski,TN,Giles,38478, , , , ,47055
Pinehurst Police Department,Local police department,25, , , , , ,3640 Mockingbird, , ,Pinehurst,NC,Moore,28370, , , , ,37125
South Padre Island Police Department,Local police department,25, , , , , ,4601 Padre Blvd., , ,"South Padre Island,",TX,Cameron,78597, , , , ,48061
Llano County Sheriff's Office,Sheriff's office,25, , , , , ,2001 N State Highway 16 Ste A, , ,Llano,TX,Llano,78643, , , , ,48299
Bexar County Constable Pct. 2,Constable/marshal,25, , , , , ,6715 Bandera Rd., , ,San Antonio,TX,Bexar,78238, , , , ,48029
Brown County Sheriff's Office,Sheriff's office,25, , , , , ,706 Utah St, , ,Brownwood,TX,Brown,76801, , , , ,48049
Appalachian State University Police Dept,Special jurisdiction,25, , , , , ,Po Box 32113, , ,Boone,NC,Watauga,28608, , , , ,37189
Delgado Community College Police,Special jurisdiction,25, , , , , ,615  CITY PARK LANE, , ,New Orleans,LA,Orleans,70119, , , , ,22071
Southeastern Louisiana University Police,Special jurisdiction,25, , , , , ,500 Western Ave. (Pride Hall), , ,Hammond,LA,Tangipahoa,70402, , , , ,22105
Chino Valley Police Department,Local police department,25, , , , , ,1020 Palomino Road, , ,Chino Valley,AZ,Yavapai,86323, , , , ,4025
Southwest Tennessee Community College Police Services,Special jurisdiction,25, , , , , ,170 Myrtle Street, , ,Memphis,TN,Shelby,38103, , , , ,47157
Wood County Sheriff's Office,Sheriff's office,25, , , , , ,328 2Nd St,PO Box 1985, ,Quitman,TX,Wood,75783, , , , ,48499
Medina County Sheriff's Office,Sheriff's office,25, , , , , ,555 Independence Dr, , ,Hondo,TX,Medina,78861, , , , ,48325
Page Police Department,Local police department,25, , , , , ,P. O. Box 3005, , ,Page,AZ,Coconino,86040, , , , ,4005
Milan Police Department,Local police department,24, , , , , ,7029 Telecom Drive, , ,Milan,TN,Gibson,38358, , , , ,47053
Kleberg County Sheriff's Office,Sheriff's office,24, , , , , ,Po Box 1360,1500 E King, ,Kingsville,TX,Kleberg,78364, , , , ,48273
Kyle Police Department,Local police department,24, , , , , ,P. O. Box 40, , ,Kyle,TX,Hays,78640, , , , ,48209
